algorithm,grid_width,grid_height,polygon_complexity,mean,median,std,min,max
scanline_et_ael_cpu,256,256,20,0.010883,0.01075,0.000574,0.010375,0.012916
scanline_et_ael_cpu,256,256,100,0.011769,0.011917,0.000269,0.011417,0.01225
scanline_et_ael_cpu,256,256,300,0.013737,0.013688,0.000307,0.013333,0.014291
scanline_et_ael_cpu,512,512,20,0.033565,0.033208,0.000859,0.033042,0.036209
scanline_et_ael_cpu,512,512,100,0.035571,0.035292,0.000887,0.034875,0.038083
scanline_et_ael_cpu,512,512,300,0.038546,0.038292,0.000832,0.037708,0.04125
scanline_et_ael_cpu,1024,1024,20,0.122129,0.117333,0.014494,0.116958,0.181541
scanline_et_ael_cpu,1024,1024,100,0.121419,0.120709,0.001893,0.119542,0.12625
scanline_et_ael_cpu,1024,1024,300,0.129181,0.128625,0.003177,0.126375,0.138458
scanline_et_ael_cpu,2048,2048,20,0.451694,0.430646,0.065568,0.429375,0.720291
scanline_et_ael_cpu,2048,2048,100,0.457511,0.4545,0.007068,0.452667,0.476459
scanline_et_ael_cpu,2048,2048,300,0.475569,0.473146,0.005043,0.4715,0.488125
