algorithm,grid_width,grid_height,polygon_complexity,mean,median,std,min,max,num_triangles,triangulation_mean_ms,triangulation_median_ms,triangulation_std_ms,triangulation_min_ms,triangulation_max_ms,rasterization_mean_ms,rasterization_median_ms,rasterization_std_ms,rasterization_min_ms,rasterization_max_ms
triangle_edge_function_cpu,256,256,20,0.074794,0.071313,0.0101,0.07025,0.114167,18,0.010673,0.00823,0.008773,0.007375,0.047083,0.064121,0.063104,0.002311,0.06275,0.070666
triangle_edge_function_cpu,256,256,100,0.148671,0.138251,0.026956,0.116625,0.194333,98,0.022594,0.019771,0.00585,0.017125,0.034666,0.126077,0.119438,0.024268,0.098417,0.175875
triangle_edge_function_cpu,256,256,300,0.173254,0.172375,0.002425,0.170583,0.1775,298,0.044254,0.043604,0.001609,0.042917,0.049458,0.129,0.128188,0.001801,0.125791,0.133541
triangle_edge_function_cpu,512,512,20,0.27166,0.259146,0.03664,0.242709,0.391292,18,0.010698,0.008855,0.003574,0.008041,0.020542,0.260962,0.249959,0.033823,0.234417,0.37425
triangle_edge_function_cpu,512,512,100,0.389511,0.380208,0.027597,0.363167,0.471583,98,0.018952,0.017813,0.002743,0.017167,0.028458,0.370558,0.362146,0.026421,0.345875,0.453917
triangle_edge_function_cpu,512,512,300,0.487148,0.470209,0.039622,0.452041,0.605749,298,0.049677,0.047167,0.007298,0.044292,0.072208,0.437471,0.423,0.03623,0.407541,0.558833
triangle_edge_function_cpu,1024,1024,20,0.999756,0.97977,0.047107,0.956417,1.101959,18,0.014935,0.009709,0.016326,0.008625,0.07975,0.984821,0.968458,0.043813,0.947542,1.09325
triangle_edge_function_cpu,1024,1024,100,1.390735,1.324646,0.217532,1.287167,2.275916,98,0.03426,0.02427,0.025578,0.020625,0.131333,1.356475,1.293167,0.196356,1.261,2.144583
triangle_edge_function_cpu,1024,1024,300,1.555494,1.507166,0.131182,1.409292,1.835667,298,0.066485,0.055875,0.026738,0.047541,0.159875,1.489008,1.438667,0.128497,1.356125,1.786042
triangle_edge_function_cpu,2048,2048,20,3.932068,3.953437,0.179826,3.727249,4.398043,18,0.048546,0.039708,0.054081,0.015833,0.273834,3.883523,3.919104,0.156403,3.681875,4.280625
triangle_edge_function_cpu,2048,2048,100,4.710344,4.673333,0.091919,4.614833,4.887874,98,0.053233,0.047312,0.034649,0.026625,0.168333,4.65711,4.606167,0.098121,4.547292,4.855916
triangle_edge_function_cpu,2048,2048,300,5.066125,5.034166,0.214144,4.82925,5.642125,298,0.085035,0.086251,0.017388,0.055833,0.116625,4.98109,4.957125,0.215843,4.733667,5.569875
